ID,Municipality,Project Name,Status,Entity,Region,Project Type
5860,Chelsea,61.4 kW at Chelsea Soldiers' Home,Complete,Chelsea Soldiers' Home,Northeast,Solar PV (Roof)
4817,Belchertown,62 Orchard Street/Ground Source Heat Pump,Complete,Belchertown,Western,Geothermal
5858,Barnstable,640 kW at Cape Cod Community College,Complete,Cape Cod Community College,Southeast,Solar PV (Carport)
783,Sudbury,7 kW PV + solar thermal at Fairbank Comm Ctr,Complete,Sudbury,Northeast,Solar PV (Roof)
752,Adams,7 kW Solar PV WWTP,Complete,Adams,Western,Solar PV (Roof)
5870,Northampton,70 kW at Highway Administration Building,Complete,Department of Transportation (MassDOT),Western,Solar PV (Ground)
5869,Framingham,72 kW at MCI South Middlesex,Complete,Department of Correction,Northeast,Solar PV (Ground)
5878,Stow,72 kW at Stow,Complete,Department of Fire Services,Central,Solar PV (Roof)
738,Danvers,73.9 kW Solar PV,Complete,North Shore Community College,Northeast,Solar PV (Roof)
663,Dennis,"74.9 kW system at Building 9, 465 Route 134",Complete,Nickerson Lumber Company,Southeast,Solar PV (Roof)
708,Tisbury,75.4 kW system at 60 Kuffies-Point Way,Complete,Northern Pines Farm,Southeast,Solar PV (Roof)
3959,Swansea,76.875 kW System at SWANSEA WATER DISTRICT DWTP,Complete,,Southeast,Solar PV (Roof)
650,Haverhill,78.7 kW PV at 3 Saber Hill Way,Complete,"Spruce Environmental Technologies, Inc.",Northeast,Solar PV (Roof)
5862,Boston,8 kW at Spectacle Island,Complete,Department of Conservation and Recreation,Northeast,Solar PV (Roof)
763,Franklin,8 kW Solar PV at Gerald M. Parmenter Elementary,Complete,Franklin,Central,Solar PV (Roof)
734,Norfolk,80.5 kW at Bay State Correctional Center,Complete,Department of Correction,Central,Solar PV (Ground)
697,Chicopee,84.7 kW PV at 140 Padgette Street,Complete,Salesmaster Associates Inc,Western,Solar PV (Roof)
712,Canton,88 kW system,Complete,Bay State School of Technology,Southeast,Solar PV (Roof)
745,Fitchburg,89 kW roof-mounted system at F,Complete,Fitchburg State University,Central,Solar PV (Roof)
671,Cambridge,89.7 kW PV on Gym,Complete,Shady Hill School,Northeast,Solar PV (Roof)
767,Holden,9 kW Solar PV at Light Dept Garage,Complete,Holden,Central,Solar PV (Roof)
766,Holden,9 kW Solar PV at Senior Center,Complete,Holden,Central,Solar PV (Roof)
680,Belmont,9.2 kW system at 10 Juniper Road,Complete,Massachusetts Audubon Society,Northeast,Solar PV (Roof)
679,Falmouth,9.6 kW PV at 541 Thomas B Landers Rd,Complete,Rapoza Landscaping,Southeast,Solar PV (Roof)
664,Barnstable,9.9 kW system,Complete,Cape Cod Organic Farm,Southeast,Solar PV (Roof)
4659,Freetown,91.35 kW solar at Quittacas Water Plant,Complete,New Bedford,Southeast,Solar PV (Ground)
4814,Worcester,92 kW Worcester Academy Solar Array,Complete,Worcester Academy K-12 Solar Array,Central,Solar PV (Roof)
3640,Brockton,92.4 kW Silver Lake DWTP Solar PV,Complete,Brockton,Southeast,Solar PV (Ground)
651,Worcester,92.7 kW system,Complete,Franklin Realty Advisors - Worcester Business Center,Central,Solar PV (Roof)
5873,Gardner,97.24 kW at Mount Wachusett Community College,Complete,Mount Wachusett Community College,Central,Solar PV (Roof)
744,Framingham,98 kW roof-mounted solar PV sy,Complete,Framingham State University,Northeast,Solar PV (Roof)
692,Tyngsborough,98.7 kW PV at 31 Progress Ave,Complete,Transmed USA Inc,Northeast,Solar PV (Roof)
3779,Dartmouth,Acushnet Hawes 1296 kW Solar PV,Complete,"GLC-(MA) Acushnet, LLC",Southeast,Solar PV (Ground)
3838,Chicopee,Ameresco Chicopee Energy LLC 7856 kW Landfill Gas,Complete,Ameresco Chicopee Energy LLC,Western,Landfill Gas
3844,Northampton,Ameresco Northampton 808 kW Landfill Gas,Complete,"Ameresco Northampton, LLC",Western,Landfill Gas
3767,Norwell,American Plumbing & Heating Corp. 217 kW Solar PV,Complete,American Plumbing & Heating Corp.,Southeast,Solar PV (Roof)
4694,Haverhill,Anaerobic Digester NE,Complete,NEO Energy,Northeast,Anaerobic Digestion
790,Deerfield,Anaerobic Digestion,Complete,Deerfield,Western,Anaerobic Digestion
3926,Aquinnah,Aquinnah Landfill Solar PV,Complete,,Southeast,Solar PV (Ground)
3837,Attleboro,Attleboro Landfill 1500 kW Landfill Gas,Complete,Union Energy,Southeast,Landfill Gas
4667,Barnstable,Barnstable Landfill Solar Project,Complete,Barnstable,Southeast,Solar PV (Ground)
3802,Barnstable,Barnstable Recycling Center 3 kW Solar PV,Complete,Barnstable,Southeast,Solar PV (Roof)
3828,Barnstable,Barnstable WWTP 200 kW Wind,Complete,Barnstable,Southeast,Wind
3808,Nantucket,Bartlett Ocean View Farm 250 kW Wind,Complete,Bartlett Ocean View Farm,Southeast,Wind
4904,Rockland,Beech Street Landfill Solar Project,Complete,Rockland,Southeast,Solar PV (Ground)
4890,Natick,Bennett-Hemenway ES 103.4 kW Solar PV PPA,Complete,Natick,Northeast,Solar PV (Roof)
3827,Charlemont,Berkshire East 900 kW Wind,Complete,Berkshire East Ski Resort,Western,Wind
3826,Hancock,Berkshire Wind Power Project 15000 kW Wind,Complete,Berkshire Wind,Western,Wind
791,Williamsburg,Biomass boiler in school,Complete,Anne T. Dunphy School,Western,Biomass Thermal
3789,Waltham,Brandeis University 277 kW Solar PV,Complete,Brandeis University,Northeast,Solar PV (Roof)
3794,Fall River,Bristol Community College 86 kW Solar PV,Complete,Bristol Community College,Southeast,Solar PV (Roof)
4873,Brookline,Brookline Public Health Center 21 kW Solar PV,Complete,Brookline,Northeast,Solar PV (Roof)
204,Northfield,"buildings heated by fuel oil, ",Complete,"A.R. Sandri, Inc.",Western,Biomass Thermal
205,Greenfield,"buildings heated by fuel oil, ",Complete,"A.R. Sandri, Inc.",Western,Biomass Thermal
206,Whately,"buildings heated by fuel oil, ",Complete,"A.R. Sandri, Inc.",Western,Biomass Thermal
209,Greenfield,"buildings heated by fuel oil, ",Complete,"A.R. Sandri, Inc.",Western,Biomass Thermal
3951,Medway,Charles River PCD - blower bldg 19.475 kW PV,Complete,Charles River Pollution Control District,Central,Solar PV (Roof)
3822,Boston,Charlestown Wind 1500 kW Wind,Complete,MWRA,Northeast,Wind
3683,Ware,Chicopee Valley Aquaduct 59 kW Inline Hydro Turbin,Complete,MWRA,Western,Hydro (Inline)
3868,Wilbraham,"Collins Hydroelectric Project, LLC 1500 kW Hydro (",Complete,Swift River Company,Western,Hydro (Run of River)
3691,Pittsfield,Coltsville DW 66 kW Inline Hydro Turbine,Complete,Pittsfield,Western,Hydro (Inline)
3839,Dartmouth,CommonWealth New Bedford 3300 kW Landfill Gas,Complete,"CommonWealth New Bedford Energy, LLC",Southeast,Landfill Gas
3787,Pittsfield,Conte Community School 9 kW Solar PV,Complete,Pittsfield,Western,Solar PV (Roof)
3878,Northampton,Cooley Dickinson Woodchip Boiler CHP 275 kW Biomas,Complete,Cooley Dickinson Hospital,Western,Biomass Thermal
3764,Milford,"Corner Brook, LLC/Hillview 165 kW Solar PV",Complete,"Corner Brook, LLC",Central,Solar PV (Roof)
3854,Clinton,Cosgrove Hydroelectric 2400 kW Hydro (Run of River,Complete,MWRA,Central,Hydro (Run of River)
3792,Lee,Country Curtains 140 kW Solar PV,Complete,Country Curtains,Western,Solar PV (Roof)
3806,Barnstable,Country Garden 100 kW Wind,Complete,Country Garden,Southeast,Wind
3843,Haverhill,Covanta Haverhill 1600 kW Landfill Gas,Complete,Covanta Haverhill Associates,Northeast,Landfill Gas
4655,Falmouth,Crooked Pond DWT 16.4 kW solar,Complete,Falmouth,Southeast,Solar PV (Roof)
3793,Chelmsford,Crooked Spring Road DWTP 485 kW Solar PV,Complete,CHELMSFORD WATER DISTRICT,Northeast,Solar PV (Ground)
3820,Winthrop,Deer Island 1200 kW Wind,Complete,MWRA,Northeast,Wind
3821,Winthrop,Deer Island 2 100 kW Wind,Complete,MWRA,Northeast,Wind
3884,Winthrop,Deer Island Back Pressure Steam Turbine Generator,Complete,MWRA,Northeast,Anaerobic Digestion
3871,Winthrop,Deer Island Hydro 2000 kW Hydro (Inline),Complete,MWRA,Northeast,Hydro (Inline)
3883,Winthrop,Deer Island Steam Turbine Generator 18000 kW Anaer,Complete,MWRA,Northeast,Anaerobic Digestion
4658,Winthrop,Deer Island WWTP 180.56 kW Solar PV #2,Complete,MWRA,Northeast,Solar PV (Roof)
3681,Boston,Deer Island WWTP 2 x 1000 kW Inline Hydro Turbines,Complete,MWRA,Northeast,Hydro (Inline)
3678,Boston,Deer Island WWTP 2 x 600 kW wind turbines,Complete,MWRA,Northeast,Wind
3679,Boston,Deer Island WWTP 450 kW Solar PV Ground and Roof,Complete,MWRA,Northeast,Solar PV (Ground)
3680,Boston,Deer Island WWTP 6000 kW Cogeneration Engine for A,Complete,MWRA,Northeast,Anaerobic Digestion
3677,Winthrop,Deer Island WWTP 99.8 kW Solar PV #1,Complete,MWRA,Northeast,Solar PV (Ground)
3873,Conway,Deerfield #2 Station 4800 kW Hydro (Run of River),Complete,TransCanada Power Marketing Ltd.,Western,Hydro (Run of River)
3874,Buckland,Deerfield #3 Station 4800 kW Hydro (Run of River),Complete,TransCanada Power Marketing Ltd.,Western,Hydro (Run of River)
3875,Buckland,Deerfield #4 Station 4800 kW Hydro (Run of River),Complete,TransCanada Power Marketing Ltd.,Western,Hydro (Run of River)
3684,Boston,DeLauri Pumping Station 1500 kW Wind Turbine,Complete,MWRA,Northeast,Wind
3777,New Bedford,Dept. of Public Infrastructure 55 kW Solar PV,Complete,New Bedford,Southeast,Solar PV (Roof)
676,Tewksbury,"DR-LMP Ames Pond 100-200, LLC 86.7 kW PV",Complete,"DR-LMP Ames Pond 100-200, LLC",Northeast,Solar PV (Roof)
682,Tewksbury,"DR-LMP Ames Pond 100-200, LLC 95.7 kW PV",Complete,"DR-LMP Ames Pond 100-200, LLC",Northeast,Solar PV (Roof)
3855,Dudley,Dudley Hydro 320 kW Hydro (Run of River),Complete,"West Dudley Hydro, LLC",Central,Hydro (Run of River)
3661,Hanover,DWTP 225 kW Wind Turbine,Complete,Hanover,Southeast,Wind
3667,Lowell,DWTP 609.62 kW Solar PV ground and roof mount,Complete,Lowell Regional Water Utility,Northeast,Solar PV (Ground)
3665,Lee,DWTP 85 kW Hydro Turbine,Complete,Lee,Western,Hydro (Inline)
3775,Beverly,East Garage 236 kW Solar PV,Complete,"Beverly Commerce Park, LLP",Northeast,Solar PV (Roof)
3780,Bedford,Edge Sports Facility 468 kW Solar PV,Complete,Solar Edge Energy LLC,Northeast,Solar PV (Roof)
3830,Fairhaven,Fairhaven Wind 3000 kW Wind,Complete,Fairhaven,Southeast,Wind
3770,Hopkinton,Faith Community Church of Hopkinton 160 kW Solar P,Complete,"Solar Energy Partners 1, LLC",Central,Solar PV (Roof)
3834,Falmouth,Falmouth High School 10 kW Wind,Complete,Falmouth,Southeast,Wind
3762,Falmouth,Falmouth Youth Hockey League 793 kW Solar PV,Complete,"Consolidated Edison Solutions, Inc.",Southeast,Solar PV (Ground)
4882,Orange,Fire Department 10 kW Solar PV,Complete,Orange,Western,Solar PV (Roof)
3851,Westminster,Fitchburg Landfill 4800 kW Landfill Gas,Complete,"WM Renewable Energy, LLC",Central,Landfill Gas
3815,Chelsea,Forbes Park 600 kW Wind,Complete,Forbes Park,Northeast,Wind
3768,Marlborough,Fore Kicks/Marlborough 309 kW Solar PV,Complete,"Forekicks II, LP",Central,Solar PV (Roof)
3766,Norfolk,Forekicks 282 kW Solar PV,Complete,"Forekicks, LP",Central,Solar PV (Roof)
3864,Shelburne,Gardner Falls 3580 kW Hydro (Run of River),Complete,"North American Energy Alliance, LLC",Western,Hydro (Run of River)
3836,Gloucester,Gloucester Engineering 4000 kW Wind,Complete,Gloucester,Northeast,Wind
3842,Granby,Granby Sanitary Landfill 3200 kW Landfill Gas,Complete,Industrial Power Services Corporation,Western,Landfill Gas
3798,North Andover,Greater Lawrence Sanitary District 441 kW Solar PV,Complete,Greater Lawrence Sanitary District,Northeast,Solar PV (Ground)
4699,Groveland,Groveland Light Company PV,Complete,Groveland Power and Light Company,Northeast,Solar PV (Ground)
4767,Swampscott,High School 383.18 kW Solar PV,Complete,Swampscott,Northeast,Solar PV (Roof)
3773,Waltham,High School 770 kW Solar PV,Complete,Waltham,Northeast,Solar PV (Roof)
3776,New Bedford,Hillman Gym 58 kW Solar PV,Complete,New Bedford,Southeast,Solar PV (Roof)
3809,Worcester,Holy Name Wind Turbine 600 kW Wind,Complete,Holy Name,Central,Wind
3856,Holyoke,Holyoke Canal Project 4-J 2150 kW Hydro (Run of Ri,Complete,Holyoke,Western,Hydro (Run of River)
3833,Florida,Hoosac Wind Farm 28500 kW Wind,Complete,Iberdrola,Western,Wind
3810,Hull,Hull Wind 2 1800 kW Wind,Complete,Hull,Southeast,Wind
3805,Hull,Hull Wind Turbine U5 660 kW Wind,Complete,Hull,Southeast,Wind
3853,Ayer,Ice House Partners Hydro 280 kW Hydro (Run of Rive,Complete,"Ice House Partners, Inc.",Central,Hydro (Run of River)
3876,Cambridge,Iggy's Biodiesel 45 kW Biomass,Complete,Iggy's Bread of the World,Northeast,Biomass Thermal
3862,Russell,Indian River - Hydro 1600 kW Hydro (Run of River),Complete,"Indian River Power Supply, LLC",Western,Hydro (Run of River)
